Most negative lemmas,Most positive lemmas
"('bleeding', 2.371794871794872)","('disappoint', 4.350462487153135)"
"('inform', 2.372448979591837)","('skyscraper', 4.35)"
"('dehydration', 2.375)","('savoy', 4.348837209302325)"
"('loudly', 2.385869565217391)","('captivating', 4.3478260869565215)"
"('inappropriately', 2.388888888888889)","('masterfully', 4.3478260869565215)"
"('decal', 2.388888888888889)","('addiction', 4.347222222222222)"
"('parcel', 2.391304347826087)","('demonstration', 4.34375)"
"('intelligence', 2.391304347826087)","('luscious', 4.343283582089552)"
"('ing', 2.391304347826087)","('happiness', 4.342105263157895)"
"('policy', 2.3914956011730206)","('artistic', 4.341463414634147)"
"('faulty', 2.393939393939394)","('graham', 4.341269841269841)"
"('yelling', 2.3958868894601544)","('ville', 4.339285714285714)"
"('nope', 2.398422090729783)","('marvelous', 4.337349397590361)"
"('redeem', 2.3986013986013988)","('rob', 4.333333333333333)"
"('swab', 2.4)","('genuinely', 4.333333333333333)"
"('contraction', 2.4)","('compost', 4.333333333333333)"
"('erased', 2.4)","('conscientious', 4.333333333333333)"
"('fooling', 2.4)","('incomparable', 4.333333333333333)"
"('unforgivable', 2.4)","('listener', 4.333333333333333)"
"('unexciting', 2.4)","('formation', 4.333333333333333)"
"('wristlet', 2.4)","('fearful', 4.333333333333333)"
"('browning', 2.4)","('hydrate', 4.333333333333333)"
"('unfairly', 2.4)","('omega', 4.333333333333333)"
"('robbery', 2.4)","('intensity', 4.333333333333333)"
"('pumice', 2.4)","('presto', 4.333333333333333)"
"('runaround', 2.4)","('ode', 4.333333333333333)"
"('viscous', 2.4)","('invasion', 4.333333333333333)"
"('leathery', 2.4)","('wonderland', 4.333333333333333)"
"('dissatisfaction', 2.40625)","('autograph', 4.333333333333333)"
"('mildew', 2.4074074074074074)","('sourness', 4.333333333333333)"
"('profanity', 2.4074074074074074)","('martial', 4.333333333333333)"
"('grime', 2.409090909090909)","('sponsor', 4.333333333333333)"
"('musty', 2.4107142857142856)","('razz', 4.333333333333333)"
"('invisible', 2.411764705882353)","('briny', 4.333333333333333)"
"('unanswered', 2.411764705882353)","('onyx', 4.333333333333333)"
"('miserable', 2.4123711340206184)","('clockwork', 4.333333333333333)"
"('unimpressive', 2.4130434782608696)","('corking', 4.333333333333333)"
"('mediocre', 2.414161996943454)","('cuttlefish', 4.333333333333333)"
"('existent', 2.414285714285714)","('kafta', 4.333333333333333)"
"('lumpy', 2.4146341463414633)","('quartet', 4.333333333333333)"
"('edible', 2.415559772296015)","('resistant', 4.333333333333333)"
"('gristly', 2.4166666666666665)","('budding', 4.333333333333333)"
"('fatal', 2.4166666666666665)","('antler', 4.333333333333333)"
"('notification', 2.4166666666666665)","('vita', 4.333333333333333)"
"('agony', 2.4166666666666665)","('overtone', 4.333333333333333)"
"('lopsided', 2.4166666666666665)","('playtime', 4.333333333333333)"
"('crumpled', 2.4166666666666665)","('hemp', 4.333333333333333)"
"('behavior', 2.4170616113744074)","('inaugural', 4.333333333333333)"
"('unhappy', 2.4192439862542954)","('notch', 4.33181522446324)"
"('operator', 2.422222222222222)","('grateful', 4.330882352941177)"
