Most negative lemmas,Most positive lemmas
"('grudgingly', 1.875)","('hiro', 4.592592592592593)"
"('hostage', 1.88)","('jess', 4.588235294117647)"
"('inedible', 1.8810289389067525)","('violin', 4.588235294117647)"
"('stank', 1.8823529411764706)","('flawless', 4.5875)"
"('diarrhea', 1.8840579710144927)","('unparalleled', 4.583333333333333)"
"('filthy', 1.8844884488448845)","('worship', 4.583333333333333)"
"('audacity', 1.8870967741935485)","('ecstasy', 4.583333333333333)"
"('thief', 1.893939393939394)","('oversell', 4.583333333333333)"
"('unworthy', 1.9)","('charisma', 4.583333333333333)"
"('arbitrary', 1.9)","('credible', 4.583333333333333)"
"('waive', 1.9)","('fantastico', 4.583333333333333)"
"('flabby', 1.9)","('friendship', 4.580645161290323)"
"('optimism', 1.9)","('seamless', 4.58)"
"('uneducated', 1.903225806451613)","('vee', 4.571428571428571)"
"('cancel', 1.9036827195467423)","('doodle', 4.571428571428571)"
"('reversed', 1.9047619047619047)","('alpine', 4.571428571428571)"
"('rectify', 1.9074074074074074)","('intelligentsia', 4.571428571428571)"
"('thump', 1.9090909090909092)","('unforgettable', 4.5675675675675675)"
"('composite', 1.9090909090909092)","('orgasmic', 4.567164179104478)"
"('blamed', 1.9125)","('communicator', 4.5625)"
"('smirk', 1.9130434782608696)","('dedicate', 4.5625)"
"('greed', 1.9130434782608696)","('halcyon', 4.5625)"
"('correspondence', 1.9166666666666667)","('unmatched', 4.555555555555555)"
"('scummy', 1.9166666666666667)","('unbeatable', 4.552631578947368)"
"('criminal', 1.917808219178082)","('encouragement', 4.551724137931035)"
"('awful', 1.9224088013896932)","('roka', 4.55)"
"('allegiant', 1.9230769230769231)","('exquisite', 4.549295774647887)"
"('documentation', 1.9230769230769231)","('oodles', 4.545454545454546)"
"('harassment', 1.9285714285714286)","('dagger', 4.545454545454546)"
"('stunk', 1.930232558139535)","('basilica', 4.545454545454546)"
"('apology', 1.9303135888501741)","('meditation', 4.545454545454546)"
"('displeasure', 1.9333333333333333)","('fiddle', 4.545454545454546)"
"('pathetic', 1.936842105263158)","('vesper', 4.542857142857143)"
"('marathoner', 1.9375)","('dale', 4.538461538461538)"
"('distasteful', 1.9375)","('forefather', 4.538461538461538)"
"('notify', 1.9375)","('mahogany', 4.538461538461538)"
"('refusing', 1.9387755102040816)","('chippy', 4.538461538461538)"
"('consent', 1.9473684210526316)","('paco', 4.535714285714286)"
"('reimburse', 1.95)","('transform', 4.535714285714286)"
"('salmonella', 1.95)","('nancy', 4.533333333333333)"
"('abomination', 1.9523809523809523)","('filo', 4.533333333333333)"
"('defensive', 1.9523809523809523)","('cacao', 4.533333333333333)"
"('irresponsible', 1.9545454545454546)","('gem', 4.529668956901936)"
"('horrific', 1.9550561797752808)","('seductive', 4.529411764705882)"
"('angrily', 1.9565217391304348)","('magnum', 4.521739130434782)"
"('blankly', 1.9565217391304348)","('attic', 4.520833333333333)"
"('unreliable', 1.9615384615384615)","('expertly', 4.52)"
"('anger', 1.9636363636363636)","('sinfully', 4.518518518518518)"
"('terrible', 1.964968152866242)","('supportive', 4.515151515151516)"
"('bureau', 1.9666666666666666)","('pinball', 4.5144927536231885)"
"('displeased', 1.9736842105263157)","('elaine', 4.513513513513513)"
"('abysmal', 1.98)","('chiropractic', 4.508771929824562)"
"('theft', 1.9814814814814814)","('incredible', 4.505064456721915)"
"('yuck', 1.9860335195530727)","('beth', 4.5)"
"('hurriedly', 2.0)","('consummate', 4.5)"
"('genetically', 2.0)","('derrick', 4.5)"
"('mouthed', 2.0)","('kensington', 4.5)"
"('cheng', 2.0)","('tory', 4.5)"
"('abusive', 2.0)","('invaluable', 4.5)"
"('cussed', 2.0)","('piercer', 4.5)"
"('careless', 2.0)","('limitless', 4.5)"
"('repulsive', 2.0)","('octane', 4.5)"
"('unhappiness', 2.0)","('exhilarating', 4.5)"
"('muck', 2.0)","('tapestry', 4.5)"
"('rinsing', 2.0)","('garth', 4.5)"
"('malfunction', 2.0)","('fling', 4.5)"
"('pubic', 2.0)","('accomplishment', 4.5)"
"('crook', 2.0)","('hypnotist', 4.5)"
"('racist', 2.0)","('bumble', 4.5)"
"('impatiently', 2.0)","('immortal', 4.5)"
"('billed', 2.0)","('poem', 4.5)"
"('disconnect', 2.0)","('earthiness', 4.5)"
"('falsely', 2.0)","('gush', 4.5)"
"('methinks', 2.0)","('cote', 4.5)"
"('hertz', 2.012987012987013)","('experimented', 4.5)"
"('tablespoon', 2.0208333333333335)","('rejoice', 4.5)"
"('substandard', 2.021276595744681)","('bonbon', 4.5)"
"('filth', 2.024390243902439)","('gene', 4.490196078431373)"
"('tasteless', 2.028328611898017)","('nectar', 4.489795918367347)"
"('unsanitary', 2.032258064516129)","('kat', 4.48936170212766)"
"('blatant', 2.032258064516129)","('yogi', 4.488888888888889)"
"('acknowledge', 2.0347222222222223)","('ana', 4.485714285714286)"
